pdf,method,block,claim,summary,spread,unit,rows,channels,labels,alignment,collisions,visual_review
figures/end_to_end/q_proj/raw/overview/matrix.pdf,nar_kmax,13,"Measured raw activation magnitude, nar_kmax, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/q_proj/raw/overview/matrix.pdf,unrotated,24,"Measured raw activation magnitude, unrotated, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/q_proj/raw/overview/matrix.pdf,hadamard,24,"Measured raw activation magnitude, hadamard, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/q_proj/raw/overview/matrix.pdf,nar_k8,24,"Measured raw activation magnitude, nar_k8, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/q_proj/raw/overview/matrix.pdf,nar_kmax,24,"Measured raw activation magnitude, nar_kmax, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/q_proj/raw/overview/matrix.pdf,unrotated,36,"Measured raw activation magnitude, unrotated, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/q_proj/raw/overview/matrix.pdf,hadamard,36,"Measured raw activation magnitude, hadamard, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/q_proj/raw/overview/matrix.pdf,nar_k8,36,"Measured raw activation magnitude, nar_k8, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/q_proj/raw/overview/matrix.pdf,nar_kmax,36,"Measured raw activation magnitude, nar_kmax, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,unrotated,1,"Measured raw activation magnitude, unrotated, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,hadamard,1,"Measured raw activation magnitude, hadamard, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_k8,1,"Measured raw activation magnitude, nar_k8, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_kmax,1,"Measured raw activation magnitude, nar_kmax, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,unrotated,13,"Measured raw activation magnitude, unrotated, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,hadamard,13,"Measured raw activation magnitude, hadamard, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_k8,13,"Measured raw activation magnitude, nar_k8, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_kmax,13,"Measured raw activation magnitude, nar_kmax, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,unrotated,24,"Measured raw activation magnitude, unrotated, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,hadamard,24,"Measured raw activation magnitude, hadamard, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_k8,24,"Measured raw activation magnitude, nar_k8, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_kmax,24,"Measured raw activation magnitude, nar_kmax, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,unrotated,36,"Measured raw activation magnitude, unrotated, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,hadamard,36,"Measured raw activation magnitude, hadamard, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_k8,36,"Measured raw activation magnitude, nar_k8, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_kmax,36,"Measured raw activation magnitude, nar_kmax, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,unrotated,1,"Measured raw activation magnitude, unrotated, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,hadamard,1,"Measured raw activation magnitude, hadamard, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,nar_k8,1,"Measured raw activation magnitude, nar_k8, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,nar_kmax,1,"Measured raw activation magnitude, nar_kmax, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,unrotated,13,"Measured raw activation magnitude, unrotated, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,hadamard,13,"Measured raw activation magnitude, hadamard, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,nar_k8,13,"Measured raw activation magnitude, nar_k8, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,nar_kmax,13,"Measured raw activation magnitude, nar_kmax, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,unrotated,24,"Measured raw activation magnitude, unrotated, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,hadamard,24,"Measured raw activation magnitude, hadamard, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,nar_k8,24,"Measured raw activation magnitude, nar_k8, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,nar_kmax,24,"Measured raw activation magnitude, nar_kmax, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,unrotated,36,"Measured raw activation magnitude, unrotated, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,hadamard,36,"Measured raw activation magnitude, hadamard, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,nar_k8,36,"Measured raw activation magnitude, nar_k8, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/end_to_end/down_proj/raw/overview/matrix.pdf,nar_kmax,36,"Measured raw activation magnitude, nar_kmax, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,12288,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,unrotated,1,"Measured raw activation magnitude, unrotated, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,hadamard,1,"Measured raw activation magnitude, hadamard, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_k8,1,"Measured raw activation magnitude, nar_k8, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_kmax,1,"Measured raw activation magnitude, nar_kmax, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,unrotated,13,"Measured raw activation magnitude, unrotated, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,hadamard,13,"Measured raw activation magnitude, hadamard, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_k8,13,"Measured raw activation magnitude, nar_k8, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_kmax,13,"Measured raw activation magnitude, nar_kmax, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,unrotated,24,"Measured raw activation magnitude, unrotated, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,hadamard,24,"Measured raw activation magnitude, hadamard, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_k8,24,"Measured raw activation magnitude, nar_k8, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_kmax,24,"Measured raw activation magnitude, nar_kmax, Block 24",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,unrotated,36,"Measured raw activation magnitude, unrotated, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,hadamard,36,"Measured raw activation magnitude, hadamard, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_k8,36,"Measured raw activation magnitude, nar_k8, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_kmax,36,"Measured raw activation magnitude, nar_kmax, Block 36",all measured absolute values in stated domain,none; fixed observed sample,sample 0,128,512,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/overview/matrix.pdf,unrotated,1,"Measured raw activation magnitude, unrotated, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/overview/matrix.pdf,hadamard,1,"Measured raw activation magnitude, hadamard, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/overview/matrix.pdf,nar_k8,1,"Measured raw activation magnitude, nar_k8, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/overview/matrix.pdf,nar_kmax,1,"Measured raw activation magnitude, nar_kmax, Block 1",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/overview/matrix.pdf,unrotated,13,"Measured raw activation magnitude, unrotated, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/overview/matrix.pdf,hadamard,13,"Measured raw activation magnitude, hadamard, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/overview/matrix.pdf,nar_k8,13,"Measured raw activation magnitude, nar_k8, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
figures/paired_local/q_proj/raw/overview/matrix.pdf,nar_kmax,13,"Measured raw activation magnitude, nar_kmax, Block 13",all measured absolute values in stated domain,none; fixed observed sample,sample 0,2048,4096,four named method rows and four block columns; original coordinate units,"PASS, zero deviations above 1.5 pt",zero FAIL; pane/image bounds WARN visually reviewed,PASS
