model,scope,row,seed,group_class,layer_group_count,group_token_observations,mean_range,status
qwen3_4b_base,runtime,Q1_asym,2,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Had_asym,0,anchor,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Had_asym,0,other,2736,358612992,2.1171143812676623,MEASURED
qwen3_4b_base,runtime,Had_asym,1,anchor,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Had_asym,1,other,2736,358612992,2.110188269295409,MEASURED
qwen3_4b_base,runtime,Had_asym,2,anchor,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Had_asym,2,other,2736,358612992,2.115035524082893,MEASURED
qwen3_4b_base,runtime,Q1_sym,0,anchor,2736,358612992,1.1116972481517298,MEASURED
qwen3_4b_base,runtime,Q1_sym,0,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q1_sym,1,anchor,2736,358612992,1.1155233349850862,MEASURED
qwen3_4b_base,runtime,Q1_sym,1,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q1_sym,2,anchor,2736,358612992,1.1157095334942475,MEASURED
qwen3_4b_base,runtime,Q1_sym,2,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Had_sym,0,anchor,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Had_sym,0,other,2736,358612992,2.1221400964314188,MEASURED
qwen3_4b_base,runtime,Had_sym,1,anchor,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Had_sym,1,other,2736,358612992,2.1153598259077504,MEASURED
qwen3_4b_base,runtime,Had_sym,2,anchor,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Had_sym,2,other,2736,358612992,2.124255847959836,MEASURED
qwen3_4b_base,runtime,Q5a_asym,0,anchor,2736,358612992,1.3224301673316476,MEASURED
qwen3_4b_base,runtime,Q5a_asym,0,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q5a_asym,1,anchor,2736,358612992,1.3215007181502747,MEASURED
qwen3_4b_base,runtime,Q5a_asym,1,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q5a_asym,2,anchor,2736,358612992,1.3195999602598347,MEASURED
qwen3_4b_base,runtime,Q5a_asym,2,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q5b_asym,0,anchor,2736,358612992,1.2925779927556091,MEASURED
qwen3_4b_base,runtime,Q5b_asym,0,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q5b_asym,1,anchor,2736,358612992,1.291813418459399,MEASURED
qwen3_4b_base,runtime,Q5b_asym,1,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q5b_asym,2,anchor,2736,358612992,1.294050609740606,MEASURED
qwen3_4b_base,runtime,Q5b_asym,2,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q5a_sym,0,anchor,2736,358612992,1.3228803812748633,MEASURED
qwen3_4b_base,runtime,Q5a_sym,0,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q5a_sym,1,anchor,2736,358612992,1.3211603841610169,MEASURED
qwen3_4b_base,runtime,Q5a_sym,1,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q5a_sym,2,anchor,2736,358612992,1.3196551469864355,MEASURED
qwen3_4b_base,runtime,Q5a_sym,2,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q5b_sym,0,anchor,2736,358612992,1.288820093963393,MEASURED
qwen3_4b_base,runtime,Q5b_sym,0,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q5b_sym,1,anchor,2736,358612992,1.2909379862752492,MEASURED
qwen3_4b_base,runtime,Q5b_sym,1,other,0,0,,N/A: no groups in this stratum at k=max
qwen3_4b_base,runtime,Q5b_sym,2,anchor,2736,358612992,1.288676666122732,MEASURED
qwen3_4b_base,runtime,Q5b_sym,2,other,0,0,,N/A: no groups in this stratum at k=max
