protocol,row,benchmark,headline_metric,value,effective_bits,kv_policy,git_commit,artifact
g128_asym,nar_k8_asym_g128,six_task,six_task_mean,73.34224735873588,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",E14 KIVI,9040075cee056f127300b638993ef676d51f1d37,results/mistral_7b_v03/e25_nar_k8_asym_g128_six_task.json
g128_asym,nar_k8_asym_g128,wikitext,ppl,5.6155189748201435,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",E14 KIVI,618ac3a93e962caf441c572836c82d9db4f1c2cf,results/mistral_7b_v03/e25_nar_k8_asym_g128_wikitext.json
g128_asym,nar_kmax_asym_g128,c4,ppl,8.588671452786684,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",E14 KIVI,f88ef06ad439f6be1a6a3e0f135442c1c3b5107e,results/mistral_7b_v03/e25_nar_kmax_asym_g128_c4.json
g128_asym,nar_kmax_asym_g128,eight_task,eight-task mean,67.17578040759192,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",E14 KIVI,9040075cee056f127300b638993ef676d51f1d37,results/mistral_7b_v03/e25_nar_kmax_asym_g128_eight_task.json
g128_asym,nar_kmax_asym_g128,six_task,six_task_mean,73.09027353224783,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",E14 KIVI,9040075cee056f127300b638993ef676d51f1d37,results/mistral_7b_v03/e25_nar_kmax_asym_g128_six_task.json
g128_asym,nar_kmax_asym_g128,wikitext,ppl,5.6267804299116815,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",E14 KIVI,618ac3a93e962caf441c572836c82d9db4f1c2cf,results/mistral_7b_v03/e25_nar_kmax_asym_g128_wikitext.json
default,hadamard_asym_g128,c4,ppl,8.708278067677876,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.0}",E14 KIVI,f88ef06ad439f6be1a6a3e0f135442c1c3b5107e,results/mistral_7b_v03/e25pc_hadamard_asym_g128_c4.json
default,hadamard_asym_g128,eight_task,eight-task mean,67.1609876032434,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.0}",E14 KIVI,3c7720056b410d422efd698e561bc92568da1490,results/mistral_7b_v03/e25pc_hadamard_asym_g128_eight_task.json
default,hadamard_asym_g128,six_task,six_task_mean,73.00945121716084,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.0}",E14 KIVI,9040075cee056f127300b638993ef676d51f1d37,results/mistral_7b_v03/e25pc_hadamard_asym_g128_six_task.json
default,hadamard_asym_g128,wikitext,ppl,5.658919326921554,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.0}",E14 KIVI,d792e873702335c438dc94bc623f218e9d28e2f7,results/mistral_7b_v03/e25pc_hadamard_asym_g128_wikitext.json
default,nar_kmax_asym_g128,c4,ppl,8.64687708120974,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.0}",E14 KIVI,f88ef06ad439f6be1a6a3e0f135442c1c3b5107e,results/mistral_7b_v03/e25pc_nar_kmax_asym_g128_c4.json
default,nar_kmax_asym_g128,eight_task,eight-task mean,67.25688799152749,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.0}",E14 KIVI,3b9e088f7f9946d4940ad5d13fea139e8f73a4b0,results/mistral_7b_v03/e25pc_nar_kmax_asym_g128_eight_task.json
default,nar_kmax_asym_g128,six_task,six_task_mean,73.0340608749224,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.0}",E14 KIVI,9040075cee056f127300b638993ef676d51f1d37,results/mistral_7b_v03/e25pc_nar_kmax_asym_g128_six_task.json
default,nar_kmax_asym_g128,wikitext,ppl,5.640457618006705,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.0}",E14 KIVI,f88ef06ad439f6be1a6a3e0f135442c1c3b5107e,results/mistral_7b_v03/e25pc_nar_kmax_asym_g128_wikitext.json
