model,layer,b,method,valid,max_abs_error,max_relative_error,invalid_reason
llama32_3b,10,32,hadamard,True,3.814697265625e-05,2.770689775388746e-07,
llama32_3b,10,32,nar,True,3.814697265625e-05,2.770689775388746e-07,
llama32_3b,10,32,nar_rope,True,2.288818359375e-05,1.6624137799681193e-07,
llama32_3b,10,64,identity,True,0.0,0.0,
llama32_3b,10,64,hadamard,True,3.814697265625e-05,2.770689775388746e-07,
llama32_3b,10,64,nar,True,3.0517578125e-05,2.2165518487327063e-07,
llama32_3b,10,64,nar_rope,True,1.52587890625e-05,1.1082759243663531e-07,
llama32_3b,10,128,identity,True,0.0,0.0,
llama32_3b,10,128,hadamard,True,3.0517578125e-05,2.2165518487327063e-07,
llama32_3b,10,128,nar,True,3.0517578125e-05,2.2165518487327063e-07,
llama32_3b,10,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,11,32,identity,True,0.0,0.0,
llama32_3b,11,32,hadamard,True,4.57763671875e-05,3.2336282629330526e-07,
llama32_3b,11,32,nar,True,6.532669067382812e-05,4.6146570298333245e-07,
llama32_3b,11,32,nar_rope,True,3.0517578125e-05,2.1557522700277332e-07,
llama32_3b,11,64,identity,True,0.0,0.0,
llama32_3b,11,64,hadamard,True,5.91278076171875e-05,4.1767700054151646e-07,
llama32_3b,11,64,nar,True,3.814697265625e-05,2.69469040858894e-07,
llama32_3b,11,64,nar_rope,True,3.0517578125e-05,2.1557522700277332e-07,
llama32_3b,11,128,identity,True,0.0,0.0,
llama32_3b,11,128,hadamard,True,5.340576171875e-05,3.7725664014942595e-07,
llama32_3b,11,128,nar,True,4.57763671875e-05,3.2336282629330526e-07,
llama32_3b,11,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,12,32,identity,True,0.0,0.0,
llama32_3b,12,32,hadamard,True,3.0517578125e-05,1.981064912115471e-07,
llama32_3b,12,32,nar,True,3.0517578125e-05,1.981064912115471e-07,
llama32_3b,12,32,nar_rope,True,2.288818359375e-05,1.48579871961374e-07,
llama32_3b,12,64,identity,True,0.0,0.0,
llama32_3b,12,64,hadamard,True,3.0517578125e-05,1.981064912115471e-07,
llama32_3b,12,64,nar,True,3.0517578125e-05,1.981064912115471e-07,
llama32_3b,12,64,nar_rope,True,2.288818359375e-05,1.48579871961374e-07,
llama32_3b,12,128,identity,True,0.0,0.0,
llama32_3b,12,128,hadamard,True,3.0517578125e-05,1.981064912115471e-07,
llama32_3b,12,128,nar,True,4.00543212890625e-05,2.6001478659054555e-07,
llama32_3b,12,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,13,32,identity,True,0.0,0.0,
llama32_3b,13,32,hadamard,True,7.62939453125e-05,3.2593229093436094e-07,
llama32_3b,13,32,nar,True,6.103515625e-05,2.60745821378805e-07,
llama32_3b,13,32,nar_rope,True,4.57763671875e-05,1.9555936603410373e-07,
llama32_3b,13,64,identity,True,0.0,0.0,
llama32_3b,13,64,hadamard,True,4.57763671875e-05,1.9555936603410373e-07,
llama32_3b,13,64,nar,True,3.0517578125e-05,1.303729106894025e-07,
llama32_3b,13,64,nar_rope,True,3.0517578125e-05,1.303729106894025e-07,
llama32_3b,13,128,identity,True,0.0,0.0,
llama32_3b,13,128,hadamard,True,4.57763671875e-05,1.9555936603410373e-07,
llama32_3b,13,128,nar,True,6.103515625e-05,2.60745821378805e-07,
llama32_3b,13,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,14,32,identity,True,0.0,0.0,
llama32_3b,14,32,hadamard,True,3.814697265625e-05,2.2483372674741986e-07,
llama32_3b,14,32,nar,True,3.814697265625e-05,2.2483372674741986e-07,
llama32_3b,14,32,nar_rope,True,2.288818359375e-05,1.3490023320628097e-07,
llama32_3b,14,64,identity,True,0.0,0.0,
llama32_3b,14,64,hadamard,True,4.9591064453125e-05,2.9228385756141506e-07,
llama32_3b,14,64,nar,True,3.814697265625e-05,2.2483372674741986e-07,
llama32_3b,14,64,nar_rope,True,1.52587890625e-05,8.993349354113889e-08,
llama32_3b,14,128,identity,True,0.0,0.0,
llama32_3b,14,128,hadamard,True,4.57763671875e-05,2.6980046641256195e-07,
llama32_3b,14,128,nar,True,5.340576171875e-05,3.1476722028855875e-07,
llama32_3b,14,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,15,32,identity,True,0.0,0.0,
llama32_3b,15,32,hadamard,True,3.0517578125e-05,1.944137295595283e-07,
llama32_3b,15,32,nar,True,3.0517578125e-05,1.944137295595283e-07,
llama32_3b,15,32,nar_rope,True,3.0517578125e-05,1.944137295595283e-07,
llama32_3b,15,64,identity,True,0.0,0.0,
llama32_3b,15,64,hadamard,True,3.0517578125e-05,1.944137295595283e-07,
llama32_3b,15,64,nar,True,3.0517578125e-05,1.944137295595283e-07,
llama32_3b,15,64,nar_rope,True,1.52587890625e-05,9.720686477976415e-08,
llama32_3b,15,128,identity,True,0.0,0.0,
llama32_3b,15,128,hadamard,True,3.814697265625e-05,2.43017154843983e-07,
llama32_3b,15,128,nar,True,3.0517578125e-05,1.944137295595283e-07,
llama32_3b,15,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,16,32,identity,True,0.0,0.0,
llama32_3b,16,32,hadamard,True,3.0517578125e-05,2.009020931836858e-07,
llama32_3b,16,32,nar,True,4.00543212890625e-05,2.636840008563013e-07,
llama32_3b,16,32,nar_rope,True,3.0517578125e-05,2.009020931836858e-07,
llama32_3b,16,64,identity,True,0.0,0.0,
llama32_3b,16,64,hadamard,True,3.4332275390625e-05,2.2601484772621916e-07,
llama32_3b,16,64,nar,True,3.528594970703125e-05,2.3229304701999354e-07,
llama32_3b,16,64,nar_rope,True,2.288818359375e-05,1.5067656988776434e-07,
llama32_3b,16,128,identity,True,0.0,0.0,
llama32_3b,16,128,hadamard,True,4.57763671875e-05,3.013531397755287e-07,
llama32_3b,16,128,nar,True,3.4332275390625e-05,2.2601484772621916e-07,
llama32_3b,16,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,17,32,identity,True,0.0,0.0,
llama32_3b,17,32,hadamard,True,3.62396240234375e-05,2.543162906931684e-07,
llama32_3b,17,32,nar,True,5.340576171875e-05,3.747818766441924e-07,
llama32_3b,17,32,nar_rope,True,3.0517578125e-05,2.1416107642835414e-07,
llama32_3b,17,64,identity,True,0.0,0.0,
llama32_3b,17,64,hadamard,True,3.814697265625e-05,2.6770135264087003e-07,
llama32_3b,17,64,nar,True,3.0517578125e-05,2.1416107642835414e-07,
llama32_3b,17,64,nar_rope,True,3.0517578125e-05,2.1416107642835414e-07,
llama32_3b,17,128,identity,True,0.0,0.0,
llama32_3b,17,128,hadamard,True,3.814697265625e-05,2.6770135264087003e-07,
llama32_3b,17,128,nar,True,3.0517578125e-05,2.1416107642835414e-07,
llama32_3b,17,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,18,32,identity,True,0.0,0.0,
llama32_3b,18,32,hadamard,True,4.00543212890625e-05,2.428162417800195e-07,
llama32_3b,18,32,nar,True,4.57763671875e-05,2.7750428444051067e-07,
llama32_3b,18,32,nar_rope,True,3.0517578125e-05,1.8500286103062535e-07,
llama32_3b,18,64,identity,True,0.0,0.0,
llama32_3b,18,64,hadamard,True,3.0517578125e-05,1.8500286103062535e-07,
llama32_3b,18,64,nar,True,4.57763671875e-05,2.7750428444051067e-07,
llama32_3b,18,64,nar_rope,True,3.0517578125e-05,1.8500286103062535e-07,
llama32_3b,18,128,identity,True,0.0,0.0,
llama32_3b,18,128,hadamard,True,4.57763671875e-05,2.7750428444051067e-07,
llama32_3b,18,128,nar,True,3.0517578125e-05,1.8500286103062535e-07,
llama32_3b,18,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,19,32,identity,True,0.0,0.0,
llama32_3b,19,32,hadamard,True,4.57763671875e-05,2.671261540854175e-07,
llama32_3b,19,32,nar,True,4.57763671875e-05,2.671261540854175e-07,
llama32_3b,19,32,nar_rope,True,3.0517578125e-05,1.7808409324970853e-07,
llama32_3b,19,64,identity,True,0.0,0.0,
llama32_3b,19,64,hadamard,True,3.814697265625e-05,2.2260512366756302e-07,
llama32_3b,19,64,nar,True,3.814697265625e-05,2.2260512366756302e-07,
llama32_3b,19,64,nar_rope,True,2.288818359375e-05,1.3356307704270876e-07,
llama32_3b,19,128,identity,True,0.0,0.0,
llama32_3b,19,128,hadamard,True,4.57763671875e-05,2.671261540854175e-07,
llama32_3b,19,128,nar,True,4.57763671875e-05,2.671261540854175e-07,
llama32_3b,19,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,20,32,identity,True,0.0,0.0,
llama32_3b,20,32,hadamard,True,3.814697265625e-05,2.5575113227205293e-07,
llama32_3b,20,32,nar,True,3.814697265625e-05,2.5575113227205293e-07,
llama32_3b,20,32,nar_rope,True,3.0517578125e-05,2.0460089444895857e-07,
llama32_3b,20,64,identity,True,0.0,0.0,
llama32_3b,20,64,hadamard,True,3.4332275390625e-05,2.3017601336050575e-07,
llama32_3b,20,64,nar,True,3.0517578125e-05,2.0460089444895857e-07,
llama32_3b,20,64,nar_rope,True,1.9073486328125e-05,1.2787556613602646e-07,
llama32_3b,20,128,identity,True,0.0,0.0,
llama32_3b,20,128,hadamard,True,3.814697265625e-05,2.5575113227205293e-07,
llama32_3b,20,128,nar,True,3.24249267578125e-05,2.1738846101015952e-07,
llama32_3b,20,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,21,32,identity,True,0.0,0.0,
llama32_3b,21,32,hadamard,True,4.1961669921875e-05,2.5440755280214944e-07,
llama32_3b,21,32,nar,True,3.814697265625e-05,2.312795857051242e-07,
llama32_3b,21,32,nar_rope,True,3.0517578125e-05,1.850236657219284e-07,
llama32_3b,21,64,identity,True,0.0,0.0,
llama32_3b,21,64,hadamard,True,3.814697265625e-05,2.312795857051242e-07,
llama32_3b,21,64,nar,True,4.57763671875e-05,2.7753549147746526e-07,
llama32_3b,21,64,nar_rope,True,2.288818359375e-05,1.3876774573873263e-07,
llama32_3b,21,128,identity,True,0.0,0.0,
llama32_3b,21,128,hadamard,True,3.814697265625e-05,2.312795857051242e-07,
llama32_3b,21,128,nar,True,3.814697265625e-05,2.312795857051242e-07,
llama32_3b,21,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,22,32,identity,True,0.0,0.0,
llama32_3b,22,32,hadamard,True,6.103515625e-05,2.8486658720794367e-07,
llama32_3b,22,32,nar,True,3.0517578125e-05,1.4243329360397183e-07,
llama32_3b,22,32,nar_rope,True,3.0517578125e-05,1.4243329360397183e-07,
llama32_3b,22,64,identity,True,0.0,0.0,
llama32_3b,22,64,hadamard,True,6.103515625e-05,2.8486658720794367e-07,
llama32_3b,22,64,nar,True,4.00543212890625e-05,1.8694369430249935e-07,
llama32_3b,22,64,nar_rope,True,3.0517578125e-05,1.4243329360397183e-07,
llama32_3b,22,128,identity,True,0.0,0.0,
llama32_3b,22,128,hadamard,True,4.57763671875e-05,2.1364994040595775e-07,
llama32_3b,22,128,nar,True,3.814697265625e-05,1.780416170049648e-07,
llama32_3b,22,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,23,32,identity,True,0.0,0.0,
llama32_3b,23,32,hadamard,True,3.814697265625e-05,2.506578198335774e-07,
llama32_3b,23,32,nar,True,3.0517578125e-05,2.0052625870903285e-07,
llama32_3b,23,32,nar_rope,True,3.0517578125e-05,2.0052625870903285e-07,
llama32_3b,23,64,identity,True,0.0,0.0,
llama32_3b,23,64,hadamard,True,4.57763671875e-05,3.007893951689766e-07,
llama32_3b,23,64,nar,True,3.0517578125e-05,2.0052625870903285e-07,
llama32_3b,23,64,nar_rope,True,2.288818359375e-05,1.503946975844883e-07,
llama32_3b,23,128,identity,True,0.0,0.0,
llama32_3b,23,128,hadamard,True,3.814697265625e-05,2.506578198335774e-07,
llama32_3b,23,128,nar,True,3.0517578125e-05,2.0052625870903285e-07,
llama32_3b,23,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,24,32,identity,True,0.0,0.0,
llama32_3b,24,32,hadamard,True,4.57763671875e-05,2.877780502785754e-07,
llama32_3b,24,32,nar,True,3.0517578125e-05,1.9185202404514712e-07,
llama32_3b,24,32,nar_rope,True,3.0517578125e-05,1.9185202404514712e-07,
llama32_3b,24,64,identity,True,0.0,0.0,
llama32_3b,24,64,hadamard,True,3.0517578125e-05,1.9185202404514712e-07,
llama32_3b,24,64,nar,True,3.0517578125e-05,1.9185202404514712e-07,
llama32_3b,24,64,nar_rope,True,2.6702880859375e-05,1.678705245922174e-07,
llama32_3b,24,128,identity,True,0.0,0.0,
llama32_3b,24,128,hadamard,True,3.0517578125e-05,1.9185202404514712e-07,
llama32_3b,24,128,nar,True,3.0517578125e-05,1.9185202404514712e-07,
llama32_3b,24,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,25,32,identity,True,0.0,0.0,
llama32_3b,25,32,hadamard,True,5.340576171875e-05,2.4774558937679103e-07,
llama32_3b,25,32,nar,True,6.103515625e-05,2.8313783673183934e-07,
llama32_3b,25,32,nar_rope,True,4.57763671875e-05,2.1235337044345215e-07,
llama32_3b,25,64,identity,True,0.0,0.0,
llama32_3b,25,64,hadamard,True,3.24249267578125e-05,1.5041698020468175e-07,
llama32_3b,25,64,nar,True,4.57763671875e-05,2.1235337044345215e-07,
llama32_3b,25,64,nar_rope,True,2.288818359375e-05,1.0617668522172607e-07,
llama32_3b,25,128,identity,True,0.0,0.0,
llama32_3b,25,128,hadamard,True,3.814697265625e-05,1.7696115151011327e-07,
llama32_3b,25,128,nar,True,4.57763671875e-05,2.1235337044345215e-07,
llama32_3b,25,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,26,32,identity,True,0.0,0.0,
llama32_3b,26,32,hadamard,True,3.814697265625e-05,2.896896091897361e-07,
llama32_3b,26,32,nar,True,4.1961669921875e-05,3.186585786352225e-07,
llama32_3b,26,32,nar_rope,True,3.814697265625e-05,2.896896091897361e-07,
llama32_3b,26,64,identity,True,0.0,0.0,
llama32_3b,26,64,hadamard,True,4.57763671875e-05,3.4762754808070895e-07,
llama32_3b,26,64,nar,True,3.814697265625e-05,2.896896091897361e-07,
llama32_3b,26,64,nar_rope,True,2.288818359375e-05,1.7381377404035447e-07,
llama32_3b,26,128,identity,True,0.0,0.0,
llama32_3b,26,128,hadamard,True,4.57763671875e-05,3.4762754808070895e-07,
llama32_3b,26,128,nar,True,3.814697265625e-05,2.896896091897361e-07,
llama32_3b,26,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,27,32,identity,True,0.0,0.0,
llama32_3b,27,32,hadamard,True,3.814697265625e-05,1.7702519983231468e-07,
llama32_3b,27,32,nar,True,4.57763671875e-05,2.1243023695660668e-07,
llama32_3b,27,32,nar_rope,True,3.814697265625e-05,1.7702519983231468e-07,
llama32_3b,27,64,identity,True,0.0,0.0,
llama32_3b,27,64,hadamard,True,3.814697265625e-05,1.7702519983231468e-07,
llama32_3b,27,64,nar,True,4.57763671875e-05,2.1243023695660668e-07,
llama32_3b,27,64,nar_rope,True,3.0517578125e-05,1.416201627080227e-07,
llama32_3b,27,128,identity,True,0.0,0.0,
llama32_3b,27,128,hadamard,True,3.0517578125e-05,1.416201627080227e-07,
llama32_3b,27,128,nar,True,3.814697265625e-05,1.7702519983231468e-07,
llama32_3b,27,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
